Type,Model,Processor,RAM,Graphics Card,Storage,Screen Size,Price,Average Rating,Speed,COUNT
Laptop,Asus ROG Zephyrus Duo 16 GX650PZ-NM037W,AMD Ryzen 9 7945HX,64GB,NVIDIA GeForce RTX 4080,2TB SSD,16 inches,19697,0.596,,15
Laptop,Lenovo Legion 5 Pro 16ITH6 82JF002VIV,Intel Core i5 11400H,16GB, NVIDIA GeForce RTX 3050,512GB SSD,16 inches,4329,0.2,,10
Laptop,Lenovo Legion Pro 7 16IRX8H 82WQ004FIV,intel core i9 13900HX,32 GB,NVIDIA GeForce RTX 4080,2TB SSD,16 inshes ,13149,0.739,,14
Laptop,Asus TUF Gaming F15 FX507VU4-LP001 ,intel core i7 13700H,16 GB,NVIDIA GeForce RTX 4050,512GB SSD,15.6 inshes,5178,0.52275,,6
Laptop,Lenovo Legion 5 Pro 16IAH7H 82RF007JIV,Intel Core i9 12900H,32 GB,NVIDIA GeForce RTX 3070,1TB SSD,16 inshes ,9280,0.5,,9
Laptop,Asus TUF Gaming F17 FX707VU4-HX005,intel core i7 13700H,8 GB,NVIDIA GeForce RTX 4050,512GB SSD,17.3 inshes,5490,0.52275,,12
Laptop,Lenovo Legion Pro 7 16IRX8H 82WQ004GIV,intel core i9 13900HX,32 GB,NVIDIA GeForce RTX 4090,2TB SSD,16 inshes ,15698,0.739,,8
Laptop,Lenovo Legion Pro 7 16IRX8H 82WQ004DIV,intel core i9 13900HX,32 GB,NVIDIA GeForce RTX 4080,1TB SSD,16 inshes ,12325,0.739,,7
Laptop,Asus TUF Gaming FX506HE-HN057,Intel Core i7 11800H,16 GB,NVIDIA GeForce RTX 3050 Ti,512GB SSD,15.6 inshes,4059,0.5665,,15
Laptop,Lenovo IdeaPad Gaming 3 15IAH7 82S900GKIV,Intel Core i7 12700H,16 GB,NVIDIA GeForce RTX 3060,512GB SSD,15.6 inshes,5290,0.442,,5
Laptop,Lenovo Legion 5 Pro 16IAH7 82RF0079IV,Intel Core i7 12700H,16 GB,NVIDIA GeForce RTX 3060,1TB SSD,16 inshes ,6547,0.442,,14
Laptop,Lenovo LOQ 15IRH8 82XV00HFIV,Intel Core i7 13620H,16 GB,NVIDIA GeForce RTX 4060,1TB SSD,15.6 inshes,6356,0.48,,13
Laptop,Asus TUF Gaming F15 FX507VV-LP142W,Intel Core i7 13620H,16 GB,NVIDIA GeForce RTX 4060,1TB SSD,15.6 inshes,5990,0.48,,10
Laptop,Lenovo Legion Pro 5 16IRX9 83DF001QIV,Intel Core i7 14650HX,32 GB,NVIDIA GeForce RTX 4060þ,1TB SSD,16 inshes ,7396,0.516,,6
Laptop,Lenovo Legion 5 15IAH7 82RC0050IV,Intel Core i5 12500H,16 GB,NVIDIA GeForce RTX 3050,1TB SSD,15.6 inshes,5141,0.3535,,12
Laptop,Dell Inspiron G15 Gaming 5520 G5520-9342,Intel Core i9 12900H,16 GB,NVIDIA GeForce RTX 3070 Ti,1TB SSD,16 inshes ,8470,0.5,,9
Laptop,Asus TUF Gaming F15 FX506HE-HN057W,Intel Core i7 11800H,16 GB,NVIDIA GeForce RTX 3050 Ti,512GB SSD,15.6 inshes,4098,0.5665,,8
Laptop,Asus TUF Gaming F15 FX507ZM-HN009W,Intel Core i7 12700H,16 GB,Intel Iris Xe Graphics,512GB SSD,15.6 inshes,6615,0.442,,11
Laptop,Asus TUF Dash F15 FX517ZR-HN014,Intel Core i7 12650H,16 GB,NVIDIA GeForce RTX 3070,1TB SSD,15.6 inshes,5871,0.4705,,7
Laptop,Lenovo Legion Pro 7 16IRX9H 83DE004CIV,Intel Core i9 14900HX,32 GB,NVIDIA GeForce RTX 4080,1TB SSD,16 inshes ,12585,0.929,,5
Laptop,Lenovo Legion 5 15IAH7 82RC0053IV,Intel Core i5 12500H,16 GB,NVIDIA GeForce RTX 3050 Ti,512GB SSD,15.6 inshes,5191,0.3535,,14
Laptop,Lenovo IdeaPad Gaming 3 15IAH7 82S900FJIV,Intel Core i5 12450H,16 GB,NVIDIA GeForce RTX 3050,1TB SSD,15.6 inshes,4600,0.302,,10
Laptop,Lenovo Legion Slim 5 16IRH8 82YA00A9IV,Intel Core i5 13420H,16 GB,NVIDIA GeForce RTX 3050,512GB SSD,16 inshes ,5701,0.2795,,13
Laptop,Asus ROG Strix G614JI-N4209W,Intel Core i7 13650HX,16 GB,NVIDIA GeForce RTX 4070,1TB SSD,16 inshes ,9994,0.516,,12
Laptop,Lenovo Legion Pro 5 16IRX8 82WK00KPIV,intel core i9 13900HX,32 GB,NVIDIA GeForce RTX 4050,1TB SSD,16 inshes ,7025,0.739,,6
Laptop,HP Victus 16-r0002nj 800K1EA,Intel Core i5 13500H,16 GB,NVIDIA GeForce RTX 4050,1TB SSD,16.1 inshes,5850,0.4165,,8
Laptop,Acer Predator Helios Neo NH.QREEC.001,Intel Core i9 14900HX,32 GB,NVIDIA GeForce RTX 4070,1TB SSD,16 inshes ,7989,0.929,,9
Laptop,Lenovo Legion 5 Pro 16IRX9 83DF001VIV,Intel Core i9 14900HX,32 GB,NVIDIA GeForce RTX 4060,2TB SSD,16 inshes ,8933,0.929,,15
Laptop,Asus TUF Gaming F15 FX507ZC4-HN151W ,Intel Core i7 12700H,16 GB,NVIDIA GeForce RTX 3050,1TB SSD,15.6 inshes,4943,0.442,,11
Laptop,HP Victus 16-r0010nj 800K5EA,Intel Core i5 13500H,16 GB,NVIDIA GeForce RTX 3050,512GB SSD,16.1 inshes,5098,0.4165,,14
Laptop,Dell Inspiron G15 Gaming G5520-8423,Intel Core i7 12700H,16 GB,NVIDIA GeForce RTX 3050 Ti,512GB SSD,15.6 inshes,5999,0.442,,7
Laptop,Lenovo Legion Pro 7 16IRX8 82WR001CIV ,Intel Core i9 13900HX,32 GB,NVIDIA GeForce RTX 4070,2TB SSD,16 inshes ,11018,0.739,,10
Laptop,Lenovo Legion Slim 5 16IRH8 82YA00ABIV,intel core i7 13700H,32 GB,NVIDIA GeForce RTX 4070,1TB SSD,16 inshes ,9488,0.52275,,8
Laptop,Lenovo IdeaPad Gaming 3 15IAH7 82S900GAIV,Intel Core i7 12650H,16 GB,NVIDIA GeForce RTX 3050,1TB SSD,15.6 inshes,5100,0.4705,,6
Laptop,Asus TUF Gaming F15 FX507ZV4-HQ043W,Intel Core i7 12700H,8 GB,NVIDIA GeForce RTX 4060,1TB SSD,15.6 inshes,6407,0.442,,13
